Field,Value,Neg,Pos,Total,Ratio
device_ip,0380c5be,44,6,50,0.12
device_id,ccff1983,49,1,50,0.02
device_ip,45c09916,35,15,50,0.3
device_id,43a36a4f,47,3,50,0.06
C14,23051,42,8,50,0.16
device_id,3232b036,46,4,50,0.08
device_ip,e44e8d12,47,3,50,0.06
device_ip,d35275f6,48,2,50,0.04
device_ip,06b0b393,44,6,50,0.12
device_id,6d4e66ca,45,5,50,0.1
device_ip,ee92446c,30,20,50,0.4
device_ip,e4bf56fe,44,6,50,0.12
device_id,09821f3a,50,0,50,0.0
device_ip,8dcf1575,32,18,50,0.36
device_ip,ee9951dd,39,11,50,0.22
device_ip,e0eaf063,37,13,50,0.26
device_ip,b32a7e4e,49,1,50,0.02
device_ip,8b0c5444,23,27,50,0.54
device_ip,d4326a10,48,2,50,0.04
device_ip,4c41df2c,38,12,50,0.24
device_ip,6e982633,49,1,50,0.02
device_id,dd685376,50,0,50,0.0
device_id,aabc5d55,45,5,50,0.1
device_ip,f694abe7,42,8,50,0.16
device_ip,9a46655c,37,13,50,0.26
device_id,69be4567,50,0,50,0.0
device_ip,7cfec831,39,11,50,0.22
device_ip,8db7d519,45,5,50,0.1
device_ip,04cdcec1,50,0,50,0.0
device_ip,12f9759c,45,5,50,0.1
device_ip,0da67e12,50,0,50,0.0
device_ip,7881ca7d,50,0,50,0.0
device_ip,e21561c6,40,10,50,0.2
device_ip,bce19438,41,9,50,0.18
device_ip,149b0a2a,49,1,50,0.02
device_ip,6c64e7d6,47,3,50,0.06
device_ip,6a3c9d20,45,5,50,0.1
device_ip,b34a518a,49,1,50,0.02
device_ip,696aba80,34,16,50,0.32
device_ip,8e288a6b,49,1,50,0.02
device_ip,92d2be71,48,2,50,0.04
device_ip,fa09bf89,46,4,50,0.08
device_ip,220413a9,50,0,50,0.0
device_id,03dfa78a,37,13,50,0.26
device_ip,9399f380,50,0,50,0.0
device_ip,5c70e893,50,0,50,0.0
device_ip,001ab4fe,45,5,50,0.1
device_ip,b1d651f4,46,4,50,0.08
device_ip,a050c494,50,0,50,0.0
device_ip,485b37c5,48,2,50,0.04
device_ip,05e3f4f2,37,13,50,0.26
device_ip,6d4d80ae,33,17,50,0.34
device_ip,77b3efb1,43,7,50,0.14
device_ip,3d1d96a6,49,1,50,0.02
device_ip,1df911a9,45,5,50,0.1
device_id,73b43911,39,11,50,0.22
device_ip,d15aebeb,46,4,50,0.08
device_ip,c17a20f0,41,9,50,0.18
device_ip,c34ddb3f,45,5,50,0.1
device_ip,4d257fe0,48,2,50,0.04
device_ip,723d0211,31,19,50,0.38
device_ip,5f81e6b4,50,0,50,0.0
device_ip,7a997f8e,50,0,50,0.0
device_ip,73c3e176,41,9,50,0.18
device_ip,53d94686,49,1,50,0.02
device_ip,dc7109a1,50,0,50,0.0
device_id,7044696d,33,17,50,0.34
device_ip,d5179390,49,1,50,0.02
device_ip,ff6775ec,48,2,50,0.04
device_id,a503b67e,49,1,50,0.02
device_ip,4de07ba6,32,18,50,0.36
device_ip,0cdb4ac3,50,0,50,0.0
device_ip,46b4c609,45,5,50,0.1
device_id,aa2480b6,38,12,50,0.24
device_ip,da64f819,45,5,50,0.1
device_ip,5db299e7,49,1,50,0.02
device_ip,ba65b70c,44,6,50,0.12
device_ip,f28cff95,49,1,50,0.02
device_ip,d5e4718c,43,7,50,0.14
device_ip,13eb42e8,46,4,50,0.08
device_ip,d294c805,45,5,50,0.1
device_ip,9273cae8,48,2,50,0.04
device_ip,c563ea4d,45,5,50,0.1
device_ip,a671dbc7,46,4,50,0.08
device_ip,971db975,39,11,50,0.22
device_id,bc37cdc1,50,0,50,0.0
device_ip,8cc4b88c,43,7,50,0.14
device_id,e5b77985,48,2,50,0.04
app_id,c86094b7,29,21,50,0.42
device_ip,74d3e06f,47,3,50,0.06
device_ip,c0d4eff5,41,9,50,0.18
device_id,5b828dde,48,2,50,0.04
device_ip,b919bde0,50,0,50,0.0
device_ip,e447ec76,40,10,50,0.2
device_id,e0ee50e0,50,0,50,0.0
device_ip,4c8dab60,47,3,50,0.06
device_id,34176b4f,41,9,50,0.18
device_ip,5f6770c3,42,8,50,0.16
device_ip,9d47938e,44,6,50,0.12
device_ip,88d7d7bd,48,2,50,0.04
device_ip,1892ed3b,49,1,50,0.02
device_ip,09e60100,50,0,50,0.0
device_ip,fd85dcd6,50,0,50,0.0
site_id,5f444b28,49,1,50,0.02
device_ip,aaf198e8,36,14,50,0.28
device_ip,5471c5ac,42,8,50,0.16
device_ip,19eb17a8,19,31,50,0.62
device_id,0e1a317c,50,0,50,0.0
device_ip,557ab7ea,49,1,50,0.02
device_ip,be271afc,34,16,50,0.32
device_ip,2c067fc6,50,0,50,0.0
device_ip,cec38d2b,46,4,50,0.08
device_ip,ad984fcd,48,2,50,0.04
site_domain,fb7aa753,43,7,50,0.14
device_id,cd6ff522,50,0,50,0.0
device_ip,8de1dd89,39,11,50,0.22
device_ip,7bbaad7c,50,0,50,0.0
device_ip,0114c7bf,50,0,50,0.0
device_ip,270bbc0e,38,12,50,0.24
device_ip,8cdc90ef,48,2,50,0.04
device_ip,2c44c967,37,13,50,0.26
app_id,0bb65f92,40,10,50,0.2
device_id,8724558e,46,4,50,0.08
device_ip,baa81d2b,50,0,50,0.0
device_ip,9dc5d74a,47,3,50,0.06
